"{3.9380986866057484*^-7, {19.816911784760453, 159.5769109103123, 41.7699472882951, 128.15986773913724, 47.47720144288234, 139.20842729854374}}","{-0.5, 0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {-0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{4.021914699126671*^-7, {158.9831483671372, 23.628185078739538, 129.21223717790164, 54.50615671374635, 137.01399234008662, 32.390421956068835}}","{-0.5, 0.5, 269.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {-0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{3.9811058925641236*^-7, {57.66624310801382, 121.96701193250784, 30.68817170480182, 154.49819703278717, 25.93971294009167, 145.3138469039879}}","{-0.5, 0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{4.607258893815726*^-7, {119.96044830742869, 52.369328386852395, 153.10430267303428, 21.39645334777942, 146.39812064166566, 40.25276159036753}}","{-0.5, 0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{0.00254188715486187, {40.50937927252876, 146.31388845461862, 21.390060964164814, 153.4141192509983, 52.071470950990694, 119.73183218591386}}","{-0.5, 0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, 0.19134171618254486}, {-0.14960490501457596, -0.22867063320771616, 0.9619397662556434}}"
"{4.55601176123299*^-7, {145.54616032625782, 26.199988029009244, 154.18899057849876, 30.68611114111083, 122.14818140767561, 57.40407493468266}}","{-0.5, 0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {-0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
"{1.0144131327707108*^-6, {33.90588463912729, 135.47600634978448, 56.28105435834226, 127.95367904898912, 24.554686686104844, 157.55331153955842}}","{-0.5, 0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{3.570689152023067*^-7, {40.56877393669786, 49.28239218838293, 126.11082621730749, 140.43328387754457, 158.4538381540398, 20.724226846409934}}","{-0.5, 0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, -0.19509032201612825}, {0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{4.1403351465819166*^-7, {20.990460808098213, 158.38673261723642, 43.159829394507774, 126.48983214154806, 48.99041174393814, 137.8200243243905}}","{-0.5, 0.5, 270.5}","{{0.9619397662556434, 0.19134171618254486, 0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, -0.19134171618254486}, {-0.22572537250328922, 0.15401279915737356, 0.9619397662556434}}"
"{0.0001298748003962062, {157.79368543256473, 24.813600935226333, 127.5827206238624, 56.225465784064276, 135.58796864020414, 33.647434437559504}}","{-0.5, 0.5, 270.5}","{{0.9619397662556434, -0.19134171618254486, 0.19509032201612825}, {0.22867063320771616, 0.9545145829984477, -0.19134171618254486}, {-0.14960490501457596, 0.22867063320771616, 0.9619397662556434}}"
"{4.844800019644888*^-7, {55.4109486723372, 123.65468086596451, 29.75210627208124, 155.49155195161364, 24.855259875099435, 147.05087440428994}}","{0.5, -0.5, 269.5}","{{0.9619397662556434, 0.19134171618254486, -0.19509032201612825}, {-0.15401279915737356, 0.969364949512839, 0.19134171618254486}, {0.22572537250328922, -0.15401279915737356, 0.9619397662556434}}"
