"{6.366179133485724*^-8, {0.5830864566266378, 0.5940399357782928, 0.6014725704782253, 0.5921706975043981, 2.5617963191041784, 2.570644476837834}}","{-5., -4., 268.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{2.7977175011330953*^-9, {0.605351606321421, 0.6167699405797704, 0.6241779004829151, 0.6144797861601929, 2.539457564584031, 2.5483476019452547}}","{-5., -4., 269.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{6.077961405934042*^-9, {0.6278752354235957, 0.6397946354522314, 0.6471783869541246, 0.6370532001440103, 2.5168562629115594, 2.5257937604856626}}","{-5., -4., 270.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{3.4128268442576174*^-9, {0.6506820883805101, 0.6631425453738781, 0.6705025799024066, 0.6599162446000382, 2.4939672416407763, 2.502958315792123}}","{-5., -4., 271.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{7.062740834678145*^-9, {0.673799392421583, 0.6868453193647467, 0.6941821580556182, 0.6830968010026188, 2.470762775978226, 2.479814166196851}}","{-5., -4., 272.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{3.0204262832435225*^-9, {0.697257275302729, 0.7109382890475928, 0.7182524887490007, 0.7066257645475302, 2.447212155831856, 2.456331332587398}}","{-5., -4., 273.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{8.965421711873805*^-9, {0.7210892739488621, 0.7354611584226426, 0.7427533190342737, 0.7305375782997428, 2.423281157690758, 2.4324764538850525}}","{-5., -4., 274.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{7.356543547181583*^-8, {0.745332959219924, 0.7604588637222655, 0.7677296377444982, 0.7548708907913433, 2.3989313955249076, 2.408212170540795}}","{-5., -4., 275.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{2.6525497745303945*^-9, {0.5204678538264305, 0.528824326782696, 0.5295882149281692, 0.5213821824437899, 2.6324769251141538, 2.6333677263910102}}","{-5., -3., 265.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
"{3.257283806672898*^-9, {0.5421096536887899, 0.5507871388902721, 0.5515483841597566, 0.543026960908386, 2.610796638677836, 2.6116902787738807}}","{-5., -3., 266.}","{{1., 0., 0.}, {0., 1., 0.}, {0., 0., 1.}}"
